PSO-Schaffer,CPSO-S-Schaffer,CPSO-S-Schaffer,CPSO-Sk-Schaffer,CPSO-Sk-Schaffer,CPSO-Hk-Schaffer,CPSO-Hk-Schaffer,CPSO-Rk-Schaffer,CPSO-Rk-Schaffer,PSO-Rastrigin,CPSO-S-Rastrigin,CPSO-S-Rastrigin,CPSO-Sk-Rastrigin,CPSO-Sk-Rastrigin,CPSO-Hk-Rastrigin,CPSO-Hk-Rastrigin,CPSO-Rk-Rastrigin,CPSO-Rk-Rastrigin,PSO-Rosenbrock,CPSO-S-Rosenbrock,CPSO-S-Rosenbrock,CPSO-Sk-Rosenbrock,CPSO-Sk-Rosenbrock,CPSO-Hk-Rosenbrock,CPSO-Hk-Rosenbrock,CPSO-Rk-Rosenbrock,CPSO-Rk-Rosenbrock,PSO-Griewanck,CPSO-S-Griewanck,CPSO-S-Griewanck,CPSO-Sk-Griewanck,CPSO-Sk-Griewanck,CPSO-Hk-Griewanck,CPSO-Hk-Griewanck,CPSO-Rk-Griewanck,CPSO-Rk-Griewanck,PSO-Ackley,CPSO-S-Ackley,CPSO-S-Ackley,CPSO-Sk-Ackley,CPSO-Sk-Ackley,CPSO-Hk-Ackley,CPSO-Hk-Ackley,CPSO-Rk-Ackley,CPSO-Rk-Ackley
0.141461644,0.440876821,0.422647618,0.164669907,0.181815538,0.290462995,0.291932707,0.305030465,0.336298487,21.91664404,6.766797819,8.090417965,22.74127974,22.75451065,19.85685539,17.79510185,13.90411592,14.34028097,58329.5856,145824.2013,136986.2161,58844.7541,45747.8684,1313375.744,467390.5094,92313.83865,69657.04182,6.44323734,2.189503965,2.355221077,6.783586257,6.379457336,13.59541527,10.42456886,4.078486736,6.257949117,11.28736895,12.14934994,13.37761567,11.26520557,12.54607617,13.28839183,13.64025744,12.92755527,13.41620893
0.139067821,0.405547339,0.404192153,0.150512359,0.162196335,0.280762074,0.291176867,0.29837017,0.320037949,20.79215843,6.413104355,7.618498436,21.68157939,22.35770766,19.50785263,17.45402402,13.05042851,13.9663663,52764.32806,147540.2701,144142.3987,51492.12184,43465.3704,1261478.871,460052.5901,87631.14627,76388.76194,6.268034206,2.043981624,2.093125101,6.39658139,5.513659843,13.22471138,10.07524397,3.471129592,5.842168896,10.63755588,11.87797081,13.4083097,10.85275804,12.28396259,13.19181038,13.44614083,12.84344501,13.07768131
0.130463316,0.429875841,0.403668501,0.144622007,0.159091388,0.27717405,0.289317756,0.304640519,0.309559636,20.07449897,6.104689732,7.155471479,21.49050661,21.80430272,19.38969598,17.12355954,12.64864481,13.20993092,48769.86733,140057.3389,140535.8894,44610.97092,40938.07073,1216649.693,453484.5422,96268.37028,77130.65744,5.850761761,1.827440042,1.99226317,5.876796863,4.917245807,13.04008561,10.04771688,3.35516559,5.760363211,10.28983865,11.76881203,13.35158044,10.43954193,11.98638121,13.03374846,13.30304221,12.56332621,12.60985818
0.118057166,0.39255287,0.402190502,0.140986073,0.14917454,0.276217406,0.286009681,0.287994697,0.3241985,19.46633021,5.805156776,6.829688772,21.02077925,21.52832923,19.09460033,16.96125997,12.02560342,12.98241641,44494.45992,146140.7123,127935.3118,39835.12641,34380.31269,1172730.269,445760.3468,91668.73935,69366.97346,5.548638344,1.754158968,1.925168512,5.08450937,4.603768355,12.92511722,9.963935834,3.14850317,5.301599372,9.920650007,11.22010885,13.06200868,10.10738756,11.7765888,13.01876114,13.15129722,12.74274719,12.61485979
0.107204304,0.385197621,0.427223681,0.130184692,0.141887048,0.276047172,0.284631537,0.264404081,0.308263063,19.17189669,5.701531403,6.401357339,20.63199574,20.88208779,18.84256821,16.76315517,11.80002889,12.86909411,40448.64667,150123.4799,115350.7876,36706.83746,32277.0653,1132589.756,441828.6005,91523.59079,72664.28412,5.236879932,1.740943741,1.851323344,4.595787724,4.337816547,12.64624699,9.847527453,3.063133347,4.690181243,9.479948556,11.06865251,12.89995814,9.841121171,11.27452229,12.86969474,13.06105524,12.31263031,12.24809427
0.102240124,0.388257994,0.412918651,0.12750622,0.134311188,0.275057099,0.280947514,0.259638624,0.278697678,18.89610234,5.463101858,5.919804734,20.29755393,20.5793187,18.7917628,16.12618244,11.31166771,12.54691251,32968.35034,118574.065,118426.633,29499.0419,30351.48379,1097315.344,439457.8609,89469.43272,100338.4405,4.946280907,1.696194971,1.739234127,4.078443243,4.252780064,12.44206545,9.747379006,2.965094783,4.5175851,9.159857997,10.73277244,12.62009122,9.471417577,11.15295966,12.84649419,13.04356375,12.25423017,12.52856377
0.095861148,0.399171726,0.419073082,0.124793572,0.131381754,0.273333273,0.280413773,0.270702222,0.288536402,18.78092537,5.200777715,5.491526067,20.26436952,20.53542044,18.66739131,15.71453664,10.97049852,12.02794503,31817.81005,124579.8238,131358.3872,27871.17379,28715.82362,1056771.719,437558.086,98848.58622,84710.37567,4.706840209,1.613436136,1.646552575,3.78018084,3.953108021,12.42909475,9.632962038,2.810135948,4.262778879,9.011729915,10.65171269,12.70411276,9.314296264,10.57857955,12.79168741,12.90728955,12.16528433,12.14453631
0.094381477,0.408562193,0.426255967,0.120800506,0.124491134,0.271319393,0.279903936,0.278160936,0.302318017,18.58533997,4.882707859,5.159526679,20.03465253,20.15294676,18.64622979,15.68244354,10.86480515,11.84556084,29960.65008,122026.0861,150412.6415,22689.22322,24881.15919,1020826.833,429659.5183,104173.9079,84657.9273,4.416664234,1.557564521,1.607674422,3.58419814,3.841685421,12.3267424,9.585472367,2.725322061,4.067837827,8.933494159,10.64842327,12.33965109,9.172466338,10.333169,12.71848669,12.8423171,12.12895638,12.06755124
0.092230374,0.401889251,0.42066541,0.114510146,0.119157062,0.270869184,0.279315418,0.301660375,0.304895921,18.27644791,4.666174415,4.713287829,19.52341111,19.63356018,18.49190235,15.54801122,10.62946698,11.39485619,28498.00361,131329.2138,141961.7069,20671.73402,23365.16844,987350.4796,427353.1016,92618.88133,86732.16506,4.279389292,1.439881513,1.620898406,3.528628263,3.682994103,12.0039632,9.485191306,2.509846665,3.905480269,8.838152342,10.49050009,12.05174076,9.030685077,9.934682797,12.69921073,12.78616555,12.03758077,11.97213533
0.087259239,0.399025645,0.406768105,0.104490683,0.116524274,0.270494199,0.278999507,0.279323336,0.279673746,18.08511491,4.453209984,4.233722171,18.92891829,19.29233175,18.29869613,15.36647201,10.42926012,10.70498039,27404.05167,122785.0587,130046.0423,19623.81013,22917.44088,955461.2448,425563.5732,81813.30914,87923.9358,4.009333612,1.43347087,1.574607973,3.425465631,3.403798706,11.93300351,9.473653762,2.445247596,3.496449399,8.613553266,10.07229909,11.99230496,8.892218726,9.574198586,12.73101493,12.60154611,12.12959539,11.87028897
